index,date,high,low,open,close,adjust,volume
2268,2018-07-30,75.9,74.2,74.3,75.0,70.97,101720
2269,2018-07-31,79.0,75.0,75.0,78.1,73.91,200730
2270,2018-08-01,79.1,77.0,77.8,78.0,73.81,98080
2271,2018-08-02,77.0,75.2,77.0,76.0,72.85,53630
2272,2018-08-03,78.4,76.0,76.9,78.0,74.77,139050
2273,2018-08-06,78.6,76.0,78.6,76.0,72.85,119440
2274,2018-08-07,80.0,75.4,76.0,77.1,73.91,268970
2275,2018-08-08,80.0,77.3,78.4,79.5,76.21,148230
2276,2018-08-09,82.7,80.0,80.0,82.0,78.6,173410
2277,2018-08-10,84.5,82.0,82.0,84.5,81.0,195740
2278,2018-08-13,84.5,81.5,84.5,83.0,79.56,127080
2279,2018-08-14,83.9,82.5,82.5,82.7,79.28,42550
2280,2018-08-15,83.7,80.0,83.7,80.6,77.26,80900
2281,2018-08-16,81.9,78.5,78.5,81.9,78.51,118300
2282,2018-08-17,84.5,81.6,81.6,84.2,80.71,156220
2283,2018-08-20,84.4,83.2,84.4,84.0,80.52,100990
2284,2018-08-21,84.0,82.7,84.0,83.5,80.04,44010
2285,2018-08-22,87.5,84.0,84.5,87.5,83.88,216960
2286,2018-08-23,91.6,86.5,88.5,91.0,87.23,219700
2287,2018-08-24,91.5,88.1,90.0,88.1,84.45,163000
2288,2018-08-27,90.9,88.2,90.0,90.9,87.14,121260
2289,2018-08-28,91.3,90.0,90.9,90.9,87.14,63100
2290,2018-08-29,91.5,90.2,90.2,91.1,87.33,86860
2291,2018-08-30,92.0,91.0,92.0,91.6,87.81,23980
2292,2018-08-31,93.4,91.6,91.6,92.5,88.67,115500
2293,2018-09-04,92.9,89.7,92.0,90.3,86.56,90260
2294,2018-09-05,91.0,87.5,88.3,88.5,84.83,59550
2295,2018-09-06,88.6,85.9,88.5,86.0,82.44,142290
2296,2018-09-07,89.5,86.0,86.0,88.4,84.74,44030
2297,2018-09-10,90.9,88.5,88.5,89.5,85.79,41160
2298,2018-09-11,95.7,89.5,89.5,95.7,91.74,165280
2299,2018-09-12,96.0,94.0,96.0,95.0,91.07,215930
2300,2018-09-13,101.0,94.1,94.1,99.0,94.9,260180
